Actual files generated - Train: 4000, Validation: 999
Total images after generation: 4999
Newly generated images: 0
         71743757 function calls (58335338 primitive calls) in 469.998 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
     1293    0.002    0.000    0.002    0.000 {built-in method time.monotonic}
      251    0.000    0.000    0.000    0.000 {built-in method time.time}
    24514    0.003    0.000    0.003    0.000 {built-in method unicodedata.east_asian_width}
  484/478    0.002    0.000    0.002    0.000 {method 'GetOverlappedResult' of '_winapi.Overlapped' objects}
      200    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
1017/1013    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.lock' objects}
    27/26    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
      218    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
     1180    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
       50    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
      132    0.000    0.000    0.000    0.000 {method '_is_zero' of '_multiprocessing.SemLock' objects}
      171    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      157    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
  3194/15  411.500    0.129    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      470    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      746    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
      466    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
  237/236    0.003    0.000    0.003    0.000 {method 'cancel' of '_winapi.Overlapped' objects}
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.deque' objects}
      106    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        8    0.000    0.000    0.000    0.000 {method 'difference_update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       34    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
    92/79    0.003    0.000    0.005    0.000 {method 'dump' of '_pickle.Pickler' objects}
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
    14997    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
      100    0.005    0.000    0.005    0.000 {method 'extend' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      140    0.902    0.006    0.902    0.006 {method 'flush' of '_io.TextIOWrapper' objects}
      108    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      114    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_io.BytesIO' objects}
      100    0.000    0.000    0.000    0.000 {method 'getbuffer' of '_winapi.Overlapped' objects}
       52    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
       14    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
   334302    0.077    0.000    0.077    0.000 {method 'items' of 'dict' objects}
